rank,anum,verdict,engine,file
5561,A234439,PROOF,transfer-matrix,papers/05501-06000/05561-PROOF.pdf
5562,A247722,PROOF,window-condition,papers/05501-06000/05562-PROOF.pdf
5563,A241614,PROOF,window-word,papers/05501-06000/05563-PROOF.pdf
5564,A241930,PROOF,window-condition,papers/05501-06000/05564-PROOF.pdf
5565,A183849,PROOF,subblock-condition,papers/05501-06000/05565-PROOF.pdf
5566,A140920,PROOF,planepartition-box,papers/05501-06000/05566-PROOF.pdf
5567,A252198,PROOF,subblock-3x3,papers/05501-06000/05567-PROOF.pdf
5568,A252452,PROOF,subblock-3x3,papers/05501-06000/05568-PROOF.pdf
5569,A252136,PROOF,subblock-3x3,papers/05501-06000/05569-PROOF.pdf
5570,A252072,PROOF,subblock-3x3,papers/05501-06000/05570-PROOF.pdf
5571,A252083,PROOF,subblock-3x3,papers/05501-06000/05571-PROOF.pdf
5572,A205733,PROOF,transfer-matrix,papers/05501-06000/05572-PROOF.pdf
5573,A232046,PROOF,transfer-matrix,papers/05501-06000/05573-PROOF.pdf
5574,A259891,PROOF,subblock-3x3,papers/05501-06000/05574-PROOF.pdf
5575,A197526,PROOF,transfer-matrix,papers/05501-06000/05575-PROOF.pdf
5576,A251189,PROOF,monotone-statistic,papers/05501-06000/05576-PROOF.pdf
5577,A234389,PROOF,forbidden-run,papers/05501-06000/05577-PROOF.pdf
5578,A232385,PROOF,cell-condition,papers/05501-06000/05578-PROOF.pdf
5579,A189261,PROOF,transfer-matrix,papers/05501-06000/05579-PROOF.pdf
5580,A252416,PROOF,subblock-3x3,papers/05501-06000/05580-PROOF.pdf
5581,A252559,PROOF,subblock-3x3,papers/05501-06000/05581-PROOF.pdf
5582,A255788,PROOF,subblock-3x3,papers/05501-06000/05582-PROOF.pdf
5583,A260366,PROOF,subblock-3x3,papers/05501-06000/05583-PROOF.pdf
5584,A316516,PROOF,transfer-matrix,papers/05501-06000/05584-PROOF.pdf
5585,A234032,PROOF,transfer-matrix,papers/05501-06000/05585-PROOF.pdf
5586,A197397,PROOF,transfer-matrix,papers/05501-06000/05586-PROOF.pdf
5587,A280359,PROOF,transfer-matrix,papers/05501-06000/05587-PROOF.pdf
5588,A237953,PROOF,subblock-difference,papers/05501-06000/05588-PROOF.pdf
5589,A237552,PROOF,subblock-difference,papers/05501-06000/05589-PROOF.pdf
5590,A278277,PROOF,transfer-matrix,papers/05501-06000/05590-PROOF.pdf
5591,A296332,PROOF,transfer-matrix,papers/05501-06000/05591-PROOF.pdf
5592,A255750,PROOF,monotone-subblock,papers/05501-06000/05592-PROOF.pdf
5593,A183496,PROOF,cell-condition,papers/05501-06000/05593-PROOF.pdf
5594,A257148,PROOF,monotone-subblock,papers/05501-06000/05594-PROOF.pdf
5595,A253726,PROOF,subblock-statistic-neighbour,papers/05501-06000/05595-PROOF.pdf
5596,A206272,PROOF,clockwise-perimeter,papers/05501-06000/05596-PROOF.pdf
5597,A207680,PROOF,transfer-matrix,papers/05501-06000/05597-PROOF.pdf
5598,A185793,PROOF,matrix-subblock,papers/05501-06000/05598-PROOF.pdf
5599,A207805,PROOF,transfer-matrix,papers/05501-06000/05599-PROOF.pdf
5600,A237672,PROOF,subblock-difference,papers/05501-06000/05600-PROOF.pdf
5601,A299685,PROOF,transfer-matrix,papers/05501-06000/05601-PROOF.pdf
5602,A302268,PROOF,transfer-matrix,papers/05501-06000/05602-PROOF.pdf
5603,A302967,PROOF,transfer-matrix,papers/05501-06000/05603-PROOF.pdf
5604,A233750,PROOF,transfer-matrix,papers/05501-06000/05604-PROOF.pdf
5605,A237136,PROOF,transfer-matrix,papers/05501-06000/05605-PROOF.pdf
5606,A254900,PROOF,monotone-subblock,papers/05501-06000/05606-PROOF.pdf
5607,A236904,PROOF,order-statistic,papers/05501-06000/05607-PROOF.pdf
5608,A296595,PROOF,neighbour-condition,papers/05501-06000/05608-PROOF.pdf
5609,A277763,PROOF,neighbour-reach,papers/05501-06000/05609-PROOF.pdf
5610,A140936,PROOF,planepartition-box,papers/05501-06000/05610-PROOF.pdf
5611,A252366,PROOF,subblock-3x3,papers/05501-06000/05611-PROOF.pdf
